ano_publicacao_contrato;codigo_orgao_entidade_contratante;nome_orgao_entidade_contratante;nome_empresarial_nome_fornecedor;cnpj_cpf_fornecedor_formatado;nome_empresarial_nome_fornecedor_1;unnamed_6;tipo_pessoa_fornecedor;numero_processo_formatado;numero_contrato;indicador_termo_de_contrato;situacao_contrato;descricao_tipo_de_contrato;objeto_contrato;unnamed_14;unnamed_15;unnamed_16;unnamed_17;unnamed_18;unnamed_19;data_assinatura_contrato;data_inicio_vigencia_contrato;data_termino_vigencia_contrato;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;contrato_termoaditivo_arquivos;valor_total_atualizado;valor_despesa_empenhada;valor_despesa_liquidada
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;ACTION IT SERVICOS DE INFORMATICA LTDA;22.806.341/0001-91;ACTION IT SERVICOS DE INFORMATICA LTDA;;PESSOA JURÍDICA;1011014 000165/2025;9478936;SIM;Vigente publicado;Serviço;CTO/44/2025 - contratação de serviço de hospedagem da Biblioteca Digital da ALMG.;;;;;;;2025-09-30;2025-10-02;2026-10-02;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Fornecedor exclusivo;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198325;109609,6;89660,59;34800,8
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;AGENES S.DA SILVA SUPRIMENTOS DE INFORMATICA LTDA;19.561.435/0001-33;AGENES S.DA SILVA SUPRIMENTOS DE INFORMATICA LTDA;;PESSOA JURÍDICA;1011014 000173/2024;9445960;SIM;Encerrado;Serviço e Fornecimento;CTO/97/2024 - aquisição de equipamentos para a TV Assembleia.;;;;;;;2025-01-09;2025-01-13;2025-07-13;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192310;3229,98;3229,98;3229,98
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;AMPLATEK COMERCIO E SERVICOS DE EQUIPAMENTOS ELETRONICOS LTDA;40.545.050/0001-79;AMPLATEK COMERCIO E SERVICOS DE EQUIPAMENTOS ELETRONICOS LTDA;;PESSOA JURÍDICA;1011014 000173/2024;9445958;SIM;Encerrado;Serviço e Fornecimento;CTO/96/2024 - aquisição de equipamentos para a TV Assembleia.;;;;;;;2025-01-09;2025-01-13;2025-07-13;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192294;61303,0;61303,0;61303,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;ANDREI PUBLICACOES MEDICAS FARMACEUTICAS TECNICAS LTDA;62.958.491/0001-35;ANDREI PUBLICACOES MEDICAS FARMACEUTICAS TECNICAS LTDA;;PESSOA JURÍDICA;1011014 000094/2025;9470203;SIM;Vigente publicado;Serviço e Fornecimento;CTO/21/2025 - aquisição do Guia Farmacêutico Brasíndice Eletrônico.;;;;;;;2025-07-07;2025-07-20;2026-07-20;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Fornecedor exclusivo;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195904;2022,0;2022,0;2022,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;ARTEBRILHO MULTSERVICOS LTDA ;07.655.416/0001-97;ARTEBRILHO MULTSERVICOS LTDA ;;PESSOA JURÍDICA;1011014 000065/2025;9478697;SIM;Vigente publicado;Serviço e Fornecimento;CTO 39/2025 - prestação de serviços de limpeza e conservação, com fornecimento de mão de obra em regime de dedicação exclusiva, insumos, saneantes domissanitários, materiais de higiene pessoal, equipamentos, Equipamentos de Proteção Individual - EPIs - e Equipamentos de Proteção Coletiva - EPCs -, a fim de manter adequadas as condições de salubridade e higiene na Assembleia Legislativa do Estado de Minas Gerais - ALMG -, seus anexos e instalações na região metropolitana de Belo Horizonte.;;;;;;;2025-10-22;2025-11-01;2030-11-01;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198133;52822912,28;10721493,32;2221477,29
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;BARCELOS COMERCIO E REPRESENTACOES LTDA;55.887.588/0001-39;BARCELOS COMERCIO E REPRESENTACOES LTDA;;PESSOA JURÍDICA;1011014 000134/2025;9476544;SIM;Vigente publicado;Fornecimento;CTO/36/2025 - aquisição de álcool para serviços constantes de limpeza e higienização.;;;;;;;2025-09-08;2025-09-10;2026-09-10;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação - Por valor;Cotação eletrônica - adm direta, fundação ou autarquia;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197949;17989,0;17989,0;8994,5
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;BELMUSIC SERVICOS MUSICAIS LTDA;17.176.850/0001-48;BELMUSIC SERVICOS MUSICAIS LTDA;;PESSOA JURÍDICA;1011014 000116/2025;9473205;SIM;Vigente publicado;Locação de imóveis;CTO 32/2025 - Locação de sala e de espaço em torre de transmissão de sinais televisivos na Serra do Curral.;;;;;;;2025-09-03;2025-09-04;2030-09-03;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Aquisição ou locação de imóvel específico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197159;792669,0;210057,28;77945,78
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;BRENO P DELLING LTDA;33.736.327/0001-85;BRENO P DELLING LTDA;;PESSOA JURÍDICA;1011014 000082/2025;9471309;SIM;Vigente publicado;Serviço;CTO/29/2025 - prestação de serviços de suporte técnico a transmissores de TV.;;;;;;;2025-08-14;2025-08-20;2026-08-20;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=196421;70000,0;53200,0;15400,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;CASUAL INOX LTDA - ME;20.414.471/0001-53;CASUAL INOX LTDA - ME;;PESSOA JURÍDICA;1011014 000263/2024;9447327;SIM;Encerrado;Serviço;CTO/110/2024 - serviço de instalação de corrimãos, adaptação de guarda-corpos e fornecimento de novo guarda-corpo.;;;;;;;2025-01-17;2025-01-21;2026-01-21;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação - Por valor;Compra direta - adm direta, fundação ou autarquia;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192748;8275,0;8275,0;8275,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;CCL DISTRIBUIDORA LTDA;05.786.956/0001-84;CCL DISTRIBUIDORA LTDA;;PESSOA JURÍDICA;1011014 000150/2025;9480930;SIM;Vigente publicado;Fornecimento;CTO/47/2025 - aquisição de papel A4 e de material gráfico.;;;;;;;2025-10-31;2025-11-04;2026-07-04;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198938;104820,0;104820,0;52410,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;CENTRAL TECNICA PECAS SERVICOS E EQUIPAMENTOS ODONTOLOGICOS LTDA;41.684.846/0001-75;CENTRAL TECNICA PECAS SERVICOS E EQUIPAMENTOS ODONTOLOGICOS LTDA;;PESSOA JURÍDICA;1011014 000291/2024;9451355;SIM;Vigente publicado;Serviço;CTO/7/2025 - contratação de empresa especializada em manutenção preventiva e corretiva de equipamentos médicos.;;;;;;;2025-02-24;2025-02-27;2027-02-27;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=193648;37579,92;34448,26;18789,96
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;CLARO S.A.;40.432.544/0001-47;CLARO S.A.;;PESSOA JURÍDICA;1011014 000121/2025;9477314;SIM;Vigente publicado;Serviço;CTO 34/2025 - Prestação de Serviço Telefônico Fixo Comutado ¿ STFC;;;;;;;2025-09-26;2025-10-08;2026-10-08;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Casos de emergência ou de calamidade pública;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197956;265484,36;263816,46;97847,95
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;CLARO S.A.;40.432.544/0001-47;CLARO S.A.;;PESSOA JURÍDICA;1011014 000169/2024;9449105;SIM;Vigente publicado;Serviço;CTO/6/2025 - serviço de transmissão em banda Ku do sinal digital da TV Assembleia através de satélite geoestacionário.;;;;;;;2025-02-17;2025-02-20;2030-02-20;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=193529;1813292,4;567157,57;204499,09
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;;PESSOA JURÍDICA;1011014 000029/2025;9456354;SIM;Vigente publicado;Serviço;CTO/9/2025 - Prestação de serviços de Tecnologia da Informação.;;;;;;;2025-04-09;2025-04-10;2026-04-10;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194138;200000,0;200000,0;83109,92
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;COMPWIRE INFORMATICA LTDA;01.181.242/0008-68;COMPWIRE INFORMATICA LTDA;;PESSOA JURÍDICA;1011014 000161/2025;9481278;SIM;Vigente publicado;Serviço;CTO/51/2025 - extensão de garantia para storages da marca Huawei.;;;;;;;2025-11-11;2025-11-20;2026-11-20;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199049;186000,0;186000,0;186000,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;CRESCER EIRELI;26.623.721/0001-41;CRESCER EIRELI;;PESSOA JURÍDICA;1011014 000123/2025;9474237;SIM;Vigente publicado;Serviço;CTO 33/2025 - serviço de suporte técnico e atualização de versão para o software Crescer (gestão de pessoas e recursos humanos) da contratante.;;;;;;;2025-09-12;2025-10-27;2026-10-27;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Fornecedor exclusivo;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197478;38580,6;38580,6;13288,88
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;DELL COMPUTADORES DO BRASIL LTDA;72.381.189/0001-10;DELL COMPUTADORES DO BRASIL LTDA;;PESSOA JURÍDICA;1011014 000166/2025;9481985;SIM;Vigente publicado;Serviço;CTO 54/2025 - serviço de extensão de garantia para storages e servidores de rede, a ser prestada pelo fabricante dos equipamentos, diretamente ou através de sua rede de assistência técnica autorizada, com abertura de chamados 24 horas por dia, 7 dias por semana, tempo de reparo ao hardware para o próximo dia útil e atendimento on-site.;;;;;;;2025-12-02;2025-12-04;2027-12-04;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Fornecedor exclusivo;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199357;249937,66;249937,66;249937,66
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;DPS ENGENHARIA S.A.;04.470.222/0001-29;DPS ENGENHARIA S.A.;;PESSOA JURÍDICA;1011014 000174/2025;9488792;SIM;Vencido;Fornecimento;CTO/58/2025 - aquisição com instalação de 2 (duas) unidades de sistema para monitoramento de Datacenter, da marca Masterkey, modelo 16ED, para monitoramento ambiental e automação.;;;;;;;2025-12-17;2025-12-22;2026-03-22;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=200056;138150,0;138150,0;138150,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;DRA NUBIA LOUREIRO SERVICOS MEDICOS LTDA;03.894.487/0001-91;DRA NUBIA LOUREIRO SERVICOS MEDICOS LTDA;;PESSOA JURÍDICA;1011014 000041/2025;9456461;SIM;Encerrado;Serviço;CTO 13/2025 - Prestação de serviço de auditoria médica para subsidiar tecnicamente a diretoria da ALMG no processo de negociação do reajuste anual do contrato assinado com a Unimed-BH.;;;;;;;2025-03-21;2025-03-25;2025-06-25;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Notória especialização em pareceres, perícias e avaliações em geral;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194202;31000,0;31000,0;31000,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;DRA NUBIA LOUREIRO SERVICOS MEDICOS LTDA;03.894.487/0001-91;DRA NUBIA LOUREIRO SERVICOS MEDICOS LTDA;;PESSOA JURÍDICA;1011014 000053/2025;9458917;SIM;Vigente publicado;Serviço;CTO/14/2025 - prestação de serviços de auditoria nas contas médicas dos prestadores credenciados do plano de autogestão da CONTRATANTE;;;;;;;2025-04-08;2025-04-10;2026-10-10;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Notória especialização em assessoria ou consultoria técnica e auditoria financeira;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194433;184500,0;184500,0;112750,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;EITV TECNOLOGIA DE STREAMING E TV DIGITAL LTDA;10.658.076/0001-62;EITV TECNOLOGIA DE STREAMING E TV DIGITAL LTDA;;PESSOA JURÍDICA;1011014 000175/2025;9481179;SIM;Vigente publicado;Serviço;CTO/50/2025 - prestação de serviço de suporte técnico e atualização do sistema de geração de legenda oculta (closed caption).;;;;;;;2025-10-31;2025-11-04;2030-11-04;Bens e serviços - Lei nº 14.133/21;Inexigibilidade;Inexigibilidade - Fornecedor exclusivo;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198993;152640,0;152385,6;9921,6
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;EMPREENDIMENTOS WG LTDA;52.994.933/0001-45;EMPREENDIMENTOS WG LTDA;;PESSOA JURÍDICA;1011014 000077/2025;9463048;SIM;Encerrado;Fornecimento;CTO 18/2025 - Aquisição de 46 (quarenta e seis) unidades de leitor biométrico de impressões digitais da marca ZKTeco, modelos SLK20R ou ZK9500.;;;;;;;2025-05-19;2025-05-22;2025-11-22;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação - Por valor;Compra direta - adm direta, fundação ou autarquia;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195128;28111,98;28111,98;28111,98
