ano_publicacao_contrato;numero_processo_formatado;numero_contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;unnamed_7;unnamed_8;unnamed_9;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_pedido;valor_total_referencia_item_pedido
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;34827;CONEXAO DE ALTA DISPONIBILIDADE A INTERNET -;;;;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;3885,0;46620,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;36757;INTEGRACAO A REDE GOVERNO;;;;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;164,0;1968,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;83038;GERENCIAMENTO DE NIVEL DE SERVICOS DA REDE IP MULTISSERVICOS;;;;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;70,0;840,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;9;561,333333333333;730008,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;2;100064;ASSOCIACAO DE ENDERECO IP A TERMINAL -;;;;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;49,0;529200,0
2026;0500005 000062/2025;9491022;MAXIMA LIMPEZA LTDA;9;1698524;"SACO PARA COLETA DE RESIDUOS DE SAUDE - MATERIA-PRIMA: POLIETILENO VIRGEM DE ALTA DENSIDADE; COR: LARANJA; GRUPO: RESIDUOS QUIMICOS (GRUPO B); CAPACIDADE NOMINAL: 50 LITROS - 15 KG; DIMENSOES (L X A): 63 CM X 80 CM; APRESENTACAO: EMBALAGEM 100 UN;";;;;3017;ARTIGOS PARA LIMPEZA E HIGIENE;1;161,15;168562,9
2026;0500005 000062/2025;9491022;MAXIMA LIMPEZA LTDA;17;1698524;"SACO PARA COLETA DE RESIDUOS DE SAUDE - MATERIA-PRIMA: POLIETILENO VIRGEM DE ALTA DENSIDADE; COR: LARANJA; GRUPO: RESIDUOS QUIMICOS (GRUPO B); CAPACIDADE NOMINAL: 50 LITROS - 15 KG; DIMENSOES (L X A): 63 CM X 80 CM; APRESENTACAO: EMBALAGEM 100 UN;";;;;3017;ARTIGOS PARA LIMPEZA E HIGIENE;1;0,0;0,0
2026;0500005 000076/2025;9492867;PMH PRODUTOS MEDICOS HOSPITALARES LTDA;1;4235;LOCACAO DE EQUIPAMENTOS ODONTOLOGICOS, MEDICOS, HOSPITALARES E LABORATORIAIS;;;;3919;LOCACAO DE MAQUINAS E EQUIPAMENTOS;7;54688,5714285714;425900,0
2026;0500005 000076/2025;9492867;PMH PRODUTOS MEDICOS HOSPITALARES LTDA;1;490768;"MEIO DE HEMOCULTURA - TIPO: AEROBICOS ADULTO; FINALIDADE: PARA CRESCIMENTO DE BACTERIAS; ASPECTO: ENRIQUECIDO, PARA PROCEDIMENTO AUTOMATIZADO;";;;;3013;MATERIAIS DE LABORATORIO E PRODUTOS QUIMICOS EM GERAL;7;38,0333;985062,47
2026;0500005 000076/2025;9492867;PMH PRODUTOS MEDICOS HOSPITALARES LTDA;2;359823;"MEIO DE HEMOCULTURA - TIPO: ANAEROBICOS ADULTO; FINALIDADE: CRESCIMENTO DE BACTERIAS; ASPECTO: ENRIQUECIDO, PARA PROCEDIMENTO AUTOMATIZADO;";;;;3013;MATERIAIS DE LABORATORIO E PRODUTOS QUIMICOS EM GERAL;1;38,0333;114099,9
2026;0500005 000076/2025;9492867;PMH PRODUTOS MEDICOS HOSPITALARES LTDA;2;490733;"MEIO DE HEMOCULTURA - TIPO: AEROBICOS PEDIATRICOS; FINALIDADE: PARA CRESCIMENTO DE BACTERIAS; ASPECTO: ENRIQUECIDO, PARA PROCEDIMENTO AUTOMATIZADO;";;;;3013;MATERIAIS DE LABORATORIO E PRODUTOS QUIMICOS EM GERAL;4;38,0333;446320,77
