ano_assinatura_contrato;numero_processo_formatado;numero_contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_processo;valor_total_referencia_item_processo;valor_total_homologado
2026;0250457 000003/2026;9501880;TATICA SOLUCOES EM SERVICOS LTDA;1;4561;SERVICOS DE CONSERVACAO E LIMPEZA PREDIAL;3701;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA;1;172694,4;172694,4;125000,0
2026;0250457 000004/2026;9505023;REQUINTE PRODUCOES E EVENTOS LTDA;1;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;1;299820,94;299820,94;249500,0
2026;0250457 000005/2026;9507102;ELEVADORES MILENIO LTDA;1;43346;MANUTENCAO PREVENTIVA E CORRETIVA EM ELEVADOR E PLATAFORMA  ELEVATORIA;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;5640,0;5640,0;2988,0
2026;0250457 000008/2026;9519091;VALENTE ENGENHARIA E MANUTENCAO LTDA;1;25763;SERVICO DE INFRAESTRUTURA DE CABEAMENTO PARA REDES FISICA,  LOGICA, ELETRICA E OUTRAS;3922;REPAROS DE BENS IMOVEIS;1;25220,0;25220,0;19000,0
2026;0250457 000009/2026;9518630;54.844.825 BRUNO DE SOUZA RODRIGUES;1;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;1;8893,5;8893,5;67490,0
2026;0250457 000009/2026;9518630;54.844.825 BRUNO DE SOUZA RODRIGUES;1;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;1;11139,75;11139,75;24000,0
2026;0250457 000009/2026;9518630;54.844.825 BRUNO DE SOUZA RODRIGUES;1;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;1;126724,0;126724,0;13000,0
2026;0250457 000010/2026;9519190;PRODUS CLIMATIZACAO LTDA;1;69990;MANUTENCAO PREVENTIVA E CORRETIVA EM   APARELHOS DE AR CONDICIONADO, INCLUINDO FORNECIMENTO DE PECAS;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;14000,0;14000,0;920,0
2026;0250457 000010/2026;9519190;PRODUS CLIMATIZACAO LTDA;1;69990;MANUTENCAO PREVENTIVA E CORRETIVA EM   APARELHOS DE AR CONDICIONADO, INCLUINDO FORNECIMENTO DE PECAS;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;22500,0;22500,0;4000,0
2026;0250457 000010/2026;9519190;PRODUS CLIMATIZACAO LTDA;1;69990;MANUTENCAO PREVENTIVA E CORRETIVA EM   APARELHOS DE AR CONDICIONADO, INCLUINDO FORNECIMENTO DE PECAS;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;35072,4;35072,4;39600,0
2026;0250457 000010/2026;9519190;PRODUS CLIMATIZACAO LTDA;1;69990;MANUTENCAO PREVENTIVA E CORRETIVA EM   APARELHOS DE AR CONDICIONADO, INCLUINDO FORNECIMENTO DE PECAS;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;42411,6;42411,6;10080,0
2026;0250457 000010/2026;9519190;PRODUS CLIMATIZACAO LTDA;1;150614;SERVICO DE INSTALACAO E OU DESINSTALACAO DE APARELHO DE AR CONDICIONADO ACIMA DE 24.000 BTUs;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;2222,0;2222,0;600,0
2026;0250457 000010/2026;9519190;PRODUS CLIMATIZACAO LTDA;1;151041;SERVICO DE INSTALACAO E OU DESINSTALACAO DE APARELHOS DE AR-CONDICIONADO ATE 24.000 BTUs;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;1;2212,0;2212,0;600,0
2026;0250457 000015/2026;9519224;POSITIVA DISTRIBUIDORA DE MATERIAIS E SERVICOS LTDA;1;110051;SERVICO DE INSTALACAO E ACABAMENTO DE FORRO DE PVC, INCLUINDO OS MATERIAIS NECESSARIOS ;3922;REPAROS DE BENS IMOVEIS;1;11674,0;11674,0;11674,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;34827;CONEXAO DE ALTA DISPONIBILIDADE A INTERNET -;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;46620,0;46620,0;46620,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;36757;INTEGRACAO A REDE GOVERNO;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;1968,0;1968,0;1968,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;83038;GERENCIAMENTO DE NIVEL DE SERVICOS DA REDE IP MULTISSERVICOS;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;840,0;840,0;840,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;4992,0;4992,0;4992,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;9420,0;9420,0;9420,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;27000,0;27000,0;27000,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;33276,0;33276,0;33276,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;37440,0;37440,0;37440,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;45864,0;45864,0;45864,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;115920,0;115920,0;115920,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;138000,0;138000,0;138000,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;1;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;318096,0;318096,0;318096,0
2026;0500005 000001/2026;9493178;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;2;100064;ASSOCIACAO DE ENDERECO IP A TERMINAL -;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;1;529200,0;529200,0;529200,0
2026;0500005 000004/2026;9518794;LABORATORIOS B BRAUN SA;1;1927213;"EQUIPO - APLICACAO: ADMINISTRACAO DE SOLUCOES; TIPO: FOTOSSENSIVEL, PARA USO EM BOMBA DE INFUSAO; MATERIA-PRIMA: PVC OU POLIURETANO;";3010;MATERIAL MEDICO E HOSPITALAR;6;24,27;212483,85;124058,35
2026;0500005 000004/2026;9518794;LABORATORIOS B BRAUN SA;1;1927582;"EQUIPO - APLICACAO: ADMINISTRACAO DE SOLUCOES PARENTERAIS; TIPO: INCOMPATIVEIS COM PVC USO EM BOMBA DE INFUSAO; MATERIA-PRIMA: POLIURETANO;";3010;MATERIAL MEDICO E HOSPITALAR;6;34,0666;799543,11;381622,2
2026;0500005 000004/2026;9518794;LABORATORIOS B BRAUN SA;1;1927590;"EQUIPO - APLICACAO: ADMINISTRACAO DE SOLUCOES; TIPO: PARENTERAL PARA USO EM BOMBA DE INFUSAO; MATERIA-PRIMA: PVC OU POLIURETANO;";3010;MATERIAL MEDICO E HOSPITALAR;2;27,38;38332,0;18298,0
